iter	RMSE
0	0.8951280429
1	0.8444238844
2	0.801487236
3	0.7722931622
4	0.7466244161
5	0.7085685008
6	0.6711601012
7	0.638749927
8	0.6126479952
9	0.5968012427
10	0.5737123003
11	0.5498189087
12	0.5359439167
13	0.5193322344
14	0.5025873589
15	0.4832874775
16	0.4704289684
17	0.4600377391
18	0.443679932
19	0.4336543499
20	0.4232225616
21	0.4113697036
22	0.4005196144
23	0.3939691538
24	0.3857349498
25	0.3786123792
26	0.3714645271
27	0.3640140495
28	0.3565732414
29	0.3531307333
30	0.3487737642
31	0.3440638843
32	0.3412322955
33	0.3367252574
34	0.3341884041
35	0.3301974627
36	0.326485224
37	0.323368265
38	0.31851153
39	0.3168817663
40	0.3141969162
41	0.3125393592
42	0.3115299186
43	0.308260055
44	0.3042358922
45	0.302902697
46	0.3018388231
47	0.3010195753
48	0.299051711
49	0.2972581401
50	0.2945766389
51	0.2930904646
52	0.2923131379
53	0.2894487385
54	0.2868901409
55	0.2863478608
56	0.2855535522
57	0.2846197999
58	0.2838994953
59	0.2817579015
60	0.2802131386
61	0.2791804429
62	0.2769528014
63	0.2753382105
64	0.2720080109
65	0.2704384989
66	0.2700060864
67	0.2695491567
68	0.268964061
69	0.2683158816
70	0.2678484355
71	0.2668928048
72	0.2654650801
73	0.2651090597
74	0.2637494438
75	0.261390523
76	0.2605154157
77	0.259853307
78	0.2594965577
79	0.2584328905
80	0.2580874176
81	0.257369167
82	0.2570461487
83	0.2560579066
84	0.254921222
85	0.2546296119
86	0.251907324
87	0.2516587566
88	0.2513746206
89	0.2496959749
90	0.2495071614
91	0.2492770529
92	0.2490600788
93	0.24778687
94	0.2475837437
95	0.2456712725
96	0.2442988146
97	0.2437337333
98	0.2434636611
99	0.2416508478
