iter	Passed	Remaining
0	1	194
1	3	185
2	5	173
3	6	162
4	8	165
5	10	163
6	12	161
7	13	158
8	15	156
9	17	153
10	18	150
11	20	148
12	22	148
13	23	146
14	25	144
15	27	142
16	28	141
17	30	138
18	31	136
19	33	134
20	35	132
21	37	131
22	39	130
23	40	128
24	42	126
25	44	125
26	45	123
27	47	121
28	48	119
29	50	117
30	52	117
31	54	115
32	56	114
33	58	113
34	59	111
35	61	109
36	63	107
37	64	105
38	66	103
39	68	102
40	70	101
41	72	99
42	73	98
43	75	96
44	77	94
45	78	92
46	80	90
47	81	87
48	83	86
49	85	85
50	87	83
51	88	81
52	90	80
53	92	78
54	93	76
55	94	74
56	96	72
57	98	71
58	99	69
59	101	67
60	102	65
61	104	64
62	106	62
63	107	60
64	109	58
65	111	57
66	112	55
67	114	53
68	116	52
69	117	50
70	119	48
71	120	47
72	122	45
73	123	43
74	125	41
75	126	40
76	128	38
77	130	36
78	132	35
79	133	33
80	135	31
81	136	30
82	138	28
83	139	26
84	141	24
85	143	23
86	145	21
87	146	20
88	148	18
89	150	16
90	151	15
91	153	13
92	154	11
93	156	9
94	158	8
95	159	6
96	161	4
97	162	3
98	164	1
99	165	0
